overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
242,- / 32,Unknown,,0-0 M,00:52:34,00:51:58,,102,,,,,
243,1 / 17,Della Costa Cynthia,,50-54 F,00:52:23,00:52:01,,545,,,,,
244,39 / 81,Valbruni Edgar,,25-29 M,00:56:47,00:52:01,,1155,,,,,
245,32 / 68,German Schmidt,,40-44 M,00:52:29,00:52:02,,289,,,,,
246,32 / 77,Lopez Victor Ariel,,30-34 M,00:53:30,00:52:11,,754,,,,,
247,21 / 53,Becquart Emmanuel,,45-49 M,00:52:31,00:52:12,,759,,,,,
248,40 / 81,Matias Isella,,25-29 M,00:52:34,00:52:13,,439,,,,,
249,22 / 53,Pablo Rios,,45-49 M,00:52:18,00:52:14,,635,,,,,
250,33 / 77,De Leon Sebastian,,30-34 M,00:53:27,00:52:15,,218,,,,,
251,34 / 77,Alejandro Padula,,30-34 M,00:52:36,00:52:16,,581,,,,,
252,35 / 77,Guillermo Ferrero,,30-34 M,00:52:30,00:52:17,,146,,,,,
253,11 / 39,Castaño Villalba Jazmin,,35-39 F,00:52:34,00:52:18,,219,,,,,
254,8 / 27,Piterman Gustavo Andrés,,50-54 M,00:52:29,00:52:20,,1266,,,,,
255,1 / 7,Leguizamon Hugo Osvaldo,,70-74 M,00:52:42,00:52:21,,1204,,,,,
256,2 / 17,Rodil Claudia,,50-54 F,00:52:28,00:52:26,,1193,,,,,
257,35 / 70,Tosi Marcelo,,35-39 M,00:52:34,00:52:28,,846,,,,,
258,41 / 81,Agustin Lyonnet,,25-29 M,00:53:17,00:52:29,,110,,,,,
259,42 / 81,Urbina Pablo Ezequiel,,25-29 M,00:52:30,00:52:30,,185,,,,,
260,12 / 39,Perassi Maria Luisa,,35-39 F,00:52:54,00:52:35,,783,,,,,
261,36 / 70,Pian Jorge,,35-39 M,00:53:41,00:52:38,,500,,,,,
262,9 / 27,Dick Javier,,50-54 M,00:52:58,00:52:39,,197,,,,,
263,18 / 47,Matias Alejandro Bertoli,,18-24 M,00:52:55,00:52:40,,461,,,,,
264,5 / 15,Ciocoletto Rodolfo Manuel,,60-64 M,00:52:56,00:52:40,,1254,,,,,
265,19 / 47,Amado Edison,,18-24 M,00:52:51,00:52:42,,1210,,,,,
266,33 / 68,Gonzalez Juan Carlos,,40-44 M,00:53:55,00:52:42,,1301,,,,,
267,37 / 70,Mas Gabriel,,35-39 M,00:53:14,00:52:43,,732,,,,,
268,36 / 77,Merlonghi Federico,,30-34 M,00:53:08,00:52:46,,180,,,,,
269,34 / 68,Alvarez Rodrigo,,40-44 M,00:52:53,00:52:48,,815,,,,,
270,20 / 47,Bruno Gennari,,18-24 M,00:53:45,00:52:53,,882,,,,,
271,37 / 77,Rodriguez Marcelo,,30-34 M,00:53:45,00:52:54,,1316,,,,,
272,38 / 77,Maceiras Mariano,,30-34 M,00:54:35,00:52:56,,20,,,,,
273,6 / 15,Daniel Rossi,,60-64 M,00:53:02,00:52:57,,398,,,,,
274,13 / 39,Griselda Basabilvaso,,35-39 F,00:53:10,00:52:57,,69,,,,,
275,6 / 35,Gregorchuk Daniela,,30-34 F,00:54:54,00:52:57,,1262,,,,,
276,23 / 53,Miguel Angel Aguada,,45-49 M,00:53:49,00:52:58,,339,,,,,
277,10 / 27,Horacio Colavino,,50-54 M,00:54:53,00:52:58,,88,,,,,
278,1 / 5,Gascon Maria Jose,,55-59 F,00:53:34,00:53:00,,664,,,,,
279,39 / 77,Piscitelli Martin,,30-34 M,00:54:08,00:53:00,,1302,,,,,
280,35 / 68,Gordillo Omar Fabian,,40-44 M,00:53:03,00:53:01,,1113,,,,,
281,21 / 47,Puccio Guido,,18-24 M,00:54:38,00:53:02,,214,,,,,
282,22 / 47,Ignacio Martinez,,18-24 M,00:54:18,00:53:07,,449,,,,,
283,43 / 81,Colombres Ernesto Rodrigo,,25-29 M,00:53:54,00:53:11,,805,,,,,
284,24 / 53,Gerardo Perco,,45-49 M,00:53:35,00:53:13,,429,,,,,
285,- / 32,Unknown,,0-0 M,00:54:08,00:53:13,,1229,,,,,
286,8 / 27,John Andrea,,25-29 F,00:53:32,00:53:14,,717,,,,,
287,25 / 53,Krasnov Fernando Javier,,45-49 M,00:53:30,00:53:15,,843,,,,,
288,40 / 77,Marengo Juan José,,30-34 M,00:55:15,00:53:21,,1127,,,,,
289,38 / 70,Adrian Marcelo Pose,,35-39 M,00:54:38,00:53:22,,112,,,,,
290,11 / 27,Broso Atilio,,50-54 M,00:53:32,00:53:23,,788,,,,,
291,39 / 70,Elizagaray Antonio,,35-39 M,00:55:18,00:53:23,,1129,,,,,
292,36 / 68,Repollo Christian,,40-44 M,00:53:56,00:53:24,,480,,,,,
293,1 / 10,Valentini Hector Ricardo,,65-69 M,00:53:50,00:53:27,,231,,,,,
294,40 / 70,Maddalena Pablo,,35-39 M,00:54:35,00:53:30,,1211,,,,,
295,7 / 35,Eugenia Martin,,30-34 F,00:54:15,00:53:39,,441,,,,,
296,44 / 81,Reyes Jorge,,25-29 M,00:54:19,00:53:41,,727,,,,,
297,7 / 8,Pinto Nicolas,,1-17 M,00:54:05,00:53:42,,491,,,,,
298,14 / 39,PATRICIA BORGES,,35-39 F,00:54:11,00:53:46,,877,,,,,
299,3 / 17,Marisa Muzzopappa,,50-54 F,00:53:50,00:53:50,,334,,,,,
300,- / 32,Martin Nicolas Sabelli,,0-0 M,00:54:44,00:53:51,,176,,,,,
301,- / 32,Joon Ho Han,,0-0 M,00:54:16,00:53:53,,113,,,,,
302,45 / 81,Sergio Bassi,,25-29 M,00:54:42,00:53:53,,828,,,,,
303,15 / 39,Rutschi Alejandra,,35-39 F,00:55:10,00:53:55,,531,,,,,
304,8 / 35,Falaq Geraldine,,30-34 F,00:53:57,00:53:56,,201,,,,,
305,41 / 77,Javier Gomez Solis,,30-34 M,00:54:15,00:53:58,,430,,,,,
306,41 / 70,Perez Ricaud Carlos Federico,,35-39 M,00:54:43,00:53:58,,742,,,,,
307,9 / 35,Paula Lima,,30-34 F,00:54:15,00:53:59,,384,,,,,
308,26 / 53,Edgardo Lyonnet,,45-49 M,00:54:46,00:53:59,,111,,,,,
309,42 / 77,Emiliano Gaston Culetto,,30-34 M,01:04:48,00:54:02,,388,,,,,
310,27 / 53,Patricio Neffa,,45-49 M,00:54:40,00:54:03,,78,,,,,
311,9 / 27,Maria Del Mar Rodriguez Quero,,25-29 F,00:54:19,00:54:04,,475,,,,,
312,28 / 53,Andriotti Fabian,,45-49 M,00:54:13,00:54:05,,721,,,,,
313,10 / 35,Santucci Lorena,,30-34 F,00:55:22,00:54:06,,528,,,,,
314,46 / 81,Blanc Pablo,,25-29 M,00:55:07,00:54:09,,510,,,,,
315,47 / 81,Gonzalo Lopez,,25-29 M,00:55:42,00:54:09,,82,,,,,
316,29 / 53,Savarese Guillermo Alejandro,,45-49 M,00:54:21,00:54:11,,1267,,,,,
317,48 / 81,Ramírez Paripancca Willy Alejandro,,25-29 M,00:54:24,00:54:14,,213,,,,,
318,42 / 70,Oizzolino Pablo,,35-39 M,01:01:03,00:54:15,,37,,,,,
319,30 / 53,Levinas Jose Gabriel,,45-49 M,00:54:18,00:54:17,,1103,,,,,
320,43 / 70,Squilachi Adrian,,35-39 M,00:54:51,00:54:17,,541,,,,,
321,37 / 68,Affronti Federico,,40-44 M,00:54:52,00:54:19,,216,,,,,
322,44 / 70,Molina Carlos,,35-39 M,00:56:15,00:54:21,,1128,,,,,
323,31 / 53,Ostuni Leandro,,45-49 M,00:55:17,00:54:23,,1336,,,,,
324,23 / 47,Mariano Pinto,,18-24 M,00:54:48,00:54:24,,589,,,,,
325,38 / 68,Heler Martin,,40-44 M,00:54:31,00:54:28,,1111,,,,,
326,24 / 47,Braian Mendoza Simões,,18-24 M,00:54:34,00:54:28,,243,,,,,
327,25 / 47,Novello Marcos Nehuen,,18-24 M,00:54:37,00:54:28,,762,,,,,
328,43 / 77,Peidon Nestor Gaston,,30-34 M,00:54:33,00:54:30,,250,,,,,
329,44 / 77,Naya Garat Lucio Nicolas,,30-34 M,00:55:03,00:54:30,,1190,,,,,
330,1 / 9,Sol Hers Vega,,18-24 F,00:54:32,00:54:31,,831,,,,,
331,26 / 47,Alvaro Milari,,18-24 M,00:56:11,00:54:31,,370,,,,,
332,49 / 81,Federico Gallardo,,25-29 M,00:56:18,00:54:31,,295,,,,,
333,10 / 27,Aguilar Gabriela,,25-29 F,00:54:40,00:54:34,,668,,,,,
334,32 / 53,Barbera Antonio Roberto,,45-49 M,00:55:25,00:54:34,,1332,,,,,
335,45 / 77,Mardones Patricio,,30-34 M,00:54:54,00:54:42,,487,,,,,
336,3 / 20,Mociulsky Juliana,,45-49 F,00:54:53,00:54:44,,270,,,,,
337,7 / 15,Diaz Roberto Luis,,60-64 M,00:55:31,00:54:48,,275,,,,,
338,50 / 81,Arturo German Hernandez Saez,,25-29 M,01:02:09,00:54:48,,98,,,,,
339,27 / 47,Martinez Juan Agustin,,18-24 M,00:55:47,00:54:52,,254,,,,,
340,46 / 77,Blanco Cristian Ariel,,30-34 M,00:55:19,00:54:53,,1130,,,,,
341,11 / 26,Fernando Villarruel,,55-59 M,00:55:15,00:54:54,,434,,,,,
342,45 / 70,Boccafurno Gustavo,,35-39 M,00:55:37,00:54:54,,698,,,,,
343,47 / 77,Garcia Molinari Lucas,,30-34 M,00:55:38,00:54:54,,813,,,,,
344,39 / 68,Priegue Javier,,40-44 M,00:56:14,00:54:55,,1244,,,,,
345,46 / 70,García Hernán,,35-39 M,00:55:30,00:54:57,,208,,,,,
346,48 / 77,Herrmann Raul,,30-34 M,00:56:44,00:54:59,,1197,,,,,
347,16 / 39,Ordoñez Patricia Maria,,35-39 F,00:55:20,00:55:03,,1312,,,,,
348,51 / 81,Gabriel Burniego,,25-29 M,00:56:50,00:55:07,,560,,,,,
349,11 / 27,Paula Leticia Montero,,25-29 F,00:55:29,00:55:12,,440,,,,,
350,40 / 68,Victorel Osvaldo,,40-44 M,00:56:29,00:55:19,,787,,,,,
351,47 / 70,Anibal Masi,,35-39 M,00:56:38,00:55:22,,1303,,,,,
352,12 / 27,Fernandez Mariana Soledad,,25-29 F,00:55:41,00:55:25,,225,,,,,
353,8 / 38,Gabriela Prestofelipo,,40-44 F,00:56:00,00:55:25,,30,,,,,
354,12 / 26,Betri Juan Ernesto,,55-59 M,00:55:41,00:55:26,,226,,,,,
355,33 / 53,Gando Sebastián,,45-49 M,00:55:45,00:55:28,,1269,,,,,
356,52 / 81,Acosta Gonzalo Daniel,,25-29 M,00:56:25,00:55:29,,19,,,,,
357,13 / 26,MARCOS ORTEGA,,55-59 M,00:56:40,00:55:29,,844,,,,,
358,11 / 35,Laura Chiribao Taurelli,,30-34 F,00:56:45,00:55:32,,550,,,,,
359,34 / 53,Muñoz Norberto Hector,,45-49 M,00:56:09,00:55:37,,539,,,,,
360,49 / 77,Federico Martinez Fraga,,30-34 M,00:56:02,00:55:41,,424,,,,,
361,- / 32,Unknown,,0-0 M,01:02:38,00:55:42,,1241,,,,,
362,53 / 81,Hernan Pagliettini,,25-29 M,00:57:28,00:55:46,,587,,,,,
363,48 / 70,Vera Hector Ricardo,,35-39 M,00:57:28,00:55:47,,200,,,,,
364,35 / 53,Guevara Ariel,,45-49 M,00:56:15,00:55:48,,202,,,,,
365,9 / 38,Masella Carolina,,40-44 F,00:57:18,00:55:48,,673,,,,,
366,10 / 38,Agustini Gabriela,,40-44 F,00:55:54,00:55:50,,1344,,,,,
367,14 / 26,Jorge Luis Castells,,55-59 M,00:56:07,00:55:54,,148,,,,,
368,2 / 9,Schleifer Jackeline,,18-24 F,00:56:07,00:55:55,,505,,,,,
369,50 / 77,Cardozo Maidana Maximiliano,,30-34 M,00:56:07,00:55:55,,506,,,,,
370,51 / 77,Leonardo Ramos,,30-34 M,00:57:32,00:55:55,,366,,,,,
371,52 / 77,Diego Cabello,,30-34 M,00:57:33,00:55:59,,73,,,,,
372,4 / 20,Casse Diana,,45-49 F,00:56:32,00:56:03,,700,,,,,
373,28 / 47,Foglia Emanuel,,18-24 M,00:56:11,00:56:05,,242,,,,,
374,17 / 39,Cabrera Victoria,,35-39 F,00:56:13,00:56:06,,723,,,,,
375,36 / 53,Remondegui Daniel,,45-49 M,00:56:47,00:56:06,,504,,,,,
376,41 / 68,Jones Jorge Gustavo,,40-44 M,00:56:25,00:56:07,,716,,,,,
377,42 / 68,Juan Carlos Limachi,,40-44 M,00:57:33,00:56:09,,403,,,,,
378,8 / 15,Sicardi Roberto .R.,,60-64 M,00:57:40,00:56:12,,1174,,,,,
379,54 / 81,Reyes Ruben,,25-29 M,00:56:53,00:56:15,,730,,,,,
380,2 / 10,Jorge Ledesma,,65-69 M,00:56:59,00:56:17,,396,,,,,
381,53 / 77,Sergio H Sommaro,,30-34 M,00:57:56,00:56:19,,139,,,,,
382,49 / 70,Santiago Facundo Nieto,,35-39 M,00:58:01,00:56:24,,165,,,,,
383,29 / 47,Ganzalez Jonathan,,18-24 M,00:56:59,00:56:26,,47,,,,,
384,3 / 10,Palazzo Edgardo,,65-69 M,00:56:34,00:56:27,,198,,,,,
385,30 / 47,Facundo Oliva,,18-24 M,00:58:10,00:56:29,,129,,,,,
386,12 / 35,Rodriguez Castro Mariela,,30-34 F,00:56:42,00:56:35,,1317,,,,,
387,50 / 70,Lastiri Mariano,,35-39 M,00:58:17,00:56:37,,1105,,,,,
388,51 / 70,Denoni Alejandro Carlos,,35-39 M,00:58:15,00:56:39,,1348,,,,,
389,54 / 77,Curi Francisco,,30-34 M,00:57:11,00:56:41,,871,,,,,
390,1 /,AMILCAR MANUEL SALAS OROÑO,,40-44 M,00:56:48,00:56:42,,874,,,,,
391,52 / 70,Manfred Hinsch,,35-39 M,00:56:51,00:56:42,,160,,,,,
392,55 / 81,Alfonso Facundo,,25-29 M,00:57:11,00:56:42,,870,,,,,
393,12 / 27,Avila Luis,,50-54 M,00:58:35,00:56:47,,648,,,,,
394,15 / 26,Turun Barrere Oscar,,55-59 M,00:57:24,00:56:51,,492,,,,,
395,31 / 47,Genta Facundo Martin,,18-24 M,00:58:17,00:56:51,,1349,,,,,
396,32 / 47,Lucas Calderoni,,18-24 M,00:57:58,00:56:53,,86,,,,,
397,13 / 27,Ernesto Fabian Carini,,50-54 M,00:57:59,00:56:54,,85,,,,,
398,43 / 68,Gerding Hernan Eduardo,,40-44 M,00:57:08,00:56:56,,483,,,,,
399,11 / 38,Garibotti Gabriela,,40-44 F,00:57:34,00:57:00,,512,,,,,
400,55 / 77,Fosque Enzo,,30-34 M,00:57:11,00:57:04,,1294,,,,,
401,33 / 47,Agustin Esteban Cisternas,,18-24 M,00:58:48,00:57:07,,133,,,,,
402,12 / 38,Paola Silva,,40-44 F,00:58:44,00:57:08,,224,,,,,
403,- / 32,Dante Ruben Pattini,,0-0 M,00:58:16,00:57:10,,824,,,,,
404,5 / 20,Maria Ines Pachane,,45-49 F,00:58:56,00:57:15,,580,,,,,
405,18 / 39,Villar Mariela,,35-39 F,00:57:31,00:57:16,,530,,,,,
406,53 / 70,Juan Paulo Carovano,,35-39 M,00:58:58,00:57:19,,406,,,,,
407,13 / 27,Marcela Bustamante,,25-29 F,00:58:58,00:57:20,,442,,,,,
408,- / 32,Unknown,,0-0 M,01:00:08,00:57:21,,880,,,,,
409,13 / 35,Cáceres Villagra Romina Paola,,30-34 F,00:57:26,00:57:22,,868,,,,,
410,13 / 38,Romina Elizabeth Rivadeneira,,40-44 F,00:57:36,00:57:23,,101,,,,,
411,56 / 77,Daniel Cajal,,30-34 M,00:57:37,00:57:24,,149,,,,,
412,14 / 27,Javier Fernandez,,50-54 M,00:58:03,00:57:25,,881,,,,,
413,19 / 39,Analia Rodriguez,,35-39 F,00:59:05,00:57:25,,582,,,,,
414,6 / 20,Brandan Esther Alejandra,,45-49 F,00:58:09,00:57:26,,257,,,,,
415,14 / 35,Carreras Fernandez Alejandra Beatriz,,30-34 F,00:57:46,00:57:27,,784,,,,,
416,54 / 70,Zarroca Guillermo,,35-39 M,00:58:29,00:57:27,,741,,,,,
417,14 / 38,Omodeo Silvia Mabel,,40-44 F,00:58:18,00:57:28,,36,,,,,
418,15 / 27,Araya Alejandro,,50-54 M,00:57:47,00:57:29,,1299,,,,,
419,44 / 68,Puig Jose Luis,,40-44 M,00:58:33,00:57:30,,276,,,,,
420,45 / 68,Banga Hernan,,40-44 M,00:58:42,00:57:31,,801,,,,,
421,20 / 39,Uzal Maria,,35-39 F,00:57:49,00:57:32,,1144,,,,,
422,55 / 70,Pablo Sottana,,35-39 M,00:58:05,00:57:39,,617,,,,,
423,34 / 47,Ortega Muñoz Daniel Alejandro,,18-24 M,00:58:26,00:57:41,,1159,,,,,
424,46 / 68,Davini Luis Ariel,,40-44 M,00:58:14,00:57:51,,238,,,,,
425,16 / 27,Ferando Tornato,,50-54 M,00:58:38,00:57:52,,413,,,,,
426,3 / 9,Stori Julia,,18-24 F,00:58:01,00:57:56,,652,,,,,
427,- / 32,Unknown,,0-0 M,00:58:08,00:57:58,,1430,,,,,
428,56 / 81,Guido Seni,,25-29 M,00:59:13,00:58:00,,141,,,,,
429,- / 32,Unknown,,0-0 M,00:59:48,00:58:02,,1239,,,,,
430,21 / 39,Gomez Gimena Lorena,,35-39 F,00:58:28,00:58:03,,501,,,,,
431,37 / 53,De Leon Walter,,45-49 M,00:58:37,00:58:08,,1122,,,,,
432,4 / 17,Van Der Pluijm Johanna Wilhelmina,,50-54 F,00:58:52,00:58:11,,222,,,,,
433,57 / 77,Bilbao Leandro,,30-34 M,00:59:33,00:58:11,,736,,,,,
434,15 / 38,Abazo Stella Maris,,40-44 F,00:59:26,00:58:12,,258,,,,,
435,35 / 47,Abervaya Ivan,,18-24 M,00:59:34,00:58:12,,677,,,,,
436,38 / 53,Medina Humberto,,45-49 M,00:59:34,00:58:12,,687,,,,,
437,47 / 68,Rosales Gabriel,,40-44 M,00:59:26,00:58:13,,259,,,,,
438,- / 32,Unknown,,0-0 M,00:58:30,00:58:20,,1227,,,,,
439,5 / 17,O'farrell Adriana,,50-54 F,00:58:39,00:58:22,,190,,,,,
440,56 / 70,Montes Lautaro Nicolas,,35-39 M,00:58:41,00:58:26,,777,,,,,
441,7 / 20,Silvina Bonin,,45-49 F,00:58:44,00:58:26,,55,,,,,
442,57 / 81,Madrid Pedro Gregorio,,25-29 M,00:59:04,00:58:32,,791,,,,,
443,58 / 81,Matias Valenzuela,,25-29 M,01:00:40,00:58:32,,826,,,,,
444,48 / 68,Lucas Medina,,40-44 M,01:00:26,00:58:33,,401,,,,,
445,16 / 38,Fornasari Lorena,,40-44 F,00:58:52,00:58:37,,514,,,,,
446,49 / 68,Caballero Fabian,,40-44 M,00:58:52,00:58:40,,811,,,,,
447,16 / 26,Mycroft Liam,,55-59 M,00:59:27,00:58:40,,525,,,,,
448,58 / 77,Manrique Adrian,,30-34 M,00:59:30,00:58:40,,696,,,,,
449,59 / 81,Perez Dario,,25-29 M,00:59:46,00:58:44,,650,,,,,
450,22 / 39,Dafne Jourdan,,35-39 F,00:59:08,00:58:45,,402,,,,,
451,17 / 38,Kleiner Marina Gisela,,40-44 F,00:59:23,00:58:49,,499,,,,,
452,57 / 70,Casanovas Nicolas,,35-39 M,00:59:15,00:58:52,,247,,,,,
453,59 / 77,Cuello Gonzalo,,30-34 M,00:59:47,00:58:58,,839,,,,,
454,58 / 70,Gonzalez Cesar Sebastian,,35-39 M,00:59:47,00:58:59,,840,,,,,
455,50 / 68,Mas Hernan,,40-44 M,00:59:33,00:59:01,,740,,,,,
456,8 / 8,Gouello Yann,,1-17 M,01:00:27,00:59:02,,1285,,,,,
457,60 / 77,Luciano Gaston Cordoba,,30-34 M,01:00:55,00:59:02,,409,,,,,
458,23 / 39,Fatima Analia Vizgarra,,35-39 F,00:59:13,00:59:09,,569,,,,,
459,18 / 38,Monzon Kroeger Ana,,40-44 F,01:00:00,00:59:09,,1125,,,,,
460,51 / 68,Rovan Luis,,40-44 M,01:00:13,00:59:10,,265,,,,,
461,4 / 10,Jorge Jose Rudzikas,,65-69 M,00:59:57,00:59:11,,405,,,,,
462,6 / 17,De Maussion Virginia,,50-54 F,00:59:32,00:59:12,,724,,,,,
463,- / 32,Unknown,,0-0 M,01:01:16,00:59:15,,1221,,,,,
464,1 / 2,Clara Vizgarra,,70-74 F,00:59:24,00:59:20,,395,,,,,
465,59 / 70,Nicolas Eduardo Cassano,,35-39 M,01:00:38,00:59:20,,319,,,,,
466,15 / 35,Yanina Roldan,,30-34 F,01:00:43,00:59:20,,636,,,,,
467,9 / 15,Anibal Jauregui,,60-64 M,01:00:44,00:59:24,,103,,,,,
468,17 / 27,Rodriguez Raul Enrique,,50-54 M,01:01:20,00:59:28,,181,,,,,
469,60 / 70,Cesar Galvan,,35-39 M,01:01:17,00:59:30,,281,,,,,
470,61 / 77,Garabali Rodrigo,,30-34 M,01:01:19,00:59:30,,1288,,,,,
471,18 / 27,Hugo Cesar Iriarte,,50-54 M,01:01:14,00:59:31,,821,,,,,
472,39 / 53,Bovi Gabriel,,45-49 M,01:01:18,00:59:32,,195,,,,,
473,- / 32,Fabio Hugo Pascali,,0-0 M,01:00:38,00:59:37,,359,,,,,
474,36 / 47,Piscitelli Guido,,18-24 M,01:00:46,00:59:38,,1150,,,,,
475,24 / 39,Romero Nadia,,35-39 F,00:59:56,00:59:40,,232,,,,,
476,4 / 9,Sterman Florencia,,18-24 F,01:00:06,00:59:40,,701,,,,,
477,10 / 15,Juan C Martinez,,60-64 M,01:00:10,00:59:40,,474,,,,,
478,2 / 7,Carlos Moran,,70-74 M,01:01:27,00:59:40,,592,,,,,
479,40 / 53,Gatto Marcelo,,45-49 M,01:02:19,00:59:40,,1257,,,,,
480,- / 32,Unknown,,0-0 M,01:01:29,00:59:43,,20003,,,,,
481,19 / 27,Argañaraz Artemio Francisco,,50-54 M,01:00:04,00:59:47,,1203,,,,,
482,19 / 38,Amione Natalia,,40-44 F,00:59:59,00:59:51,,1296,,,,,
